Case,Perturbation,Formulation,Merge,A_parameter,n,mean,std,median,max,cv,tail_ratio,cv_ge_5pct,tail_ge_2x
case2746wop,"(0.02, 20)",Chordal_AMD,False,0.0,20,65.3561347293551,9.514183518601804,63.585257025493775,77.79650457098614,0.1455744523142439,1.2234990972796498,True,False
case2746wop,"(0.02, 20)",Chordal_AMD,True,2.0,20,112.58075899074319,13.818704899123231,115.80204271402908,125.89827183191665,0.12274481912366088,1.087185241998019,True,False
case2746wop,"(0.02, 20)",Chordal_AMD,True,3.0,20,49.61227761809132,6.57277145427932,47.63609483302571,58.37691379501484,0.13248275970870832,1.2254764795401032,True,False
case2746wop,"(0.02, 20)",Chordal_AMD,True,4.0,20,49.921281986054964,4.3914199551421556,51.26293376152171,54.01354683493264,0.0879668906813903,1.053656957797362,True,False
case2746wop,"(0.02, 20)",Chordal_AMD,True,5.0,20,50.52659605490044,4.692722219961886,51.42535373044666,56.43311388604343,0.09287627875946636,1.0973792067983754,True,False
case2746wop,"(0.02, 20)",Chordal_MD,False,0.0,20,60.34214860874344,9.894780078759592,57.593327756476356,72.75818194897147,0.16397792102029757,1.2633092197175537,True,False
case2746wop,"(0.02, 20)",Chordal_MD,True,2.0,20,101.55599532975467,20.90666105120138,88.32828531350242,127.43241962901084,0.20586338584262767,1.4427136129351614,True,False
case2746wop,"(0.02, 20)",Chordal_MD,True,3.0,20,45.20875017295184,7.665459210898482,40.5486282625061,55.679221816011705,0.16955698137137812,1.3731468659199093,True,False
case2746wop,"(0.02, 20)",Chordal_MD,True,4.0,20,57.70415924571862,9.158559432018695,58.181777529011015,68.42232477699872,0.15871575899787876,1.1760095288061883,True,False
case2746wop,"(0.02, 20)",Chordal_MD,True,5.0,20,60.55239831235376,9.535710090545505,60.91347953048535,71.30969890009146,0.15747865247808115,1.1706719013548246,True,False
case2746wop,"(0.02, 20)",Chordal_MFI,False,0.0,20,68.25791179466759,10.61819151436169,68.83974611648591,80.06974553398322,0.15555986456636955,1.163132493232829,True,False
case2746wop,"(0.02, 20)",Chordal_MFI,True,2.0,20,116.51915753710782,15.418861275665058,122.81865098001435,129.54766465106513,0.13232898007140687,1.0547882069812489,True,False
case2746wop,"(0.02, 20)",Chordal_MFI,True,3.0,20,50.80246401945478,7.212497810200811,50.262174168019556,60.05505600501783,0.14197141712336608,1.1948360173251165,True,False
case2746wop,"(0.02, 20)",Chordal_MFI,True,4.0,20,55.411102675646546,7.895421333751338,53.849461572477594,65.74872215895448,0.1424880746367355,1.2209726938580678,True,False
case2746wop,"(0.02, 20)",Chordal_MFI,True,5.0,20,57.49586552860565,8.126400902744182,55.802663781505544,68.16228387900628,0.14133887416132715,1.2214879946572916,True,False
case2746wop,"(0.04, 869)",Chordal_AMD,False,0.0,20,62.76515714189154,3.6988063968845393,63.83180546096992,66.37616088998038,0.05893088722016174,1.0398603080491937,True,False
case2746wop,"(0.04, 869)",Chordal_AMD,True,2.0,20,112.98438386250055,9.43166956461666,117.83490916900337,120.21263108297715,0.08347763860972848,1.0201784168269148,True,False
case2746wop,"(0.04, 869)",Chordal_AMD,True,3.0,20,56.148702495667386,2.5481282771149942,56.0498797915061,59.08555428101681,0.04538178379654661,1.054160231936318,False,False
case2746wop,"(0.04, 869)",Chordal_AMD,True,4.0,20,52.72613144064671,2.1549863155196824,52.81357680744259,55.75522004603408,0.040871314785260314,1.0556986179769017,False,False
case2746wop,"(0.04, 869)",Chordal_AMD,True,5.0,20,51.393760800058956,4.303413263251227,52.69172040600097,55.54988816101104,0.08373415753700379,1.0542432043020664,True,False
case2746wop,"(0.04, 869)",Chordal_MD,False,0.0,20,73.48171012274979,5.488124610586625,75.47770155253238,79.5323782049818,0.07468694728822747,1.0537201924415698,True,False
case2746wop,"(0.04, 869)",Chordal_MD,True,2.0,20,127.65942528533924,11.472326314876522,130.69752284750575,144.76014759397367,0.08986666115121572,1.1075967198159968,True,False
case2746wop,"(0.04, 869)",Chordal_MD,True,3.0,20,63.22093283929862,4.566587203179677,63.47867918200791,66.96914975799154,0.07223220218511314,1.054986502885097,True,False
case2746wop,"(0.04, 869)",Chordal_MD,True,4.0,20,58.756830284951135,3.93773463377463,59.58373398549156,62.60704943496967,0.06701747889867311,1.050740617400955,True,False
case2746wop,"(0.04, 869)",Chordal_MD,True,5.0,20,59.629733760652016,4.079853396609222,60.970961696031736,62.86393796902848,0.0684197822010301,1.0310471775471428,True,False
case2746wop,"(0.04, 869)",Chordal_MFI,False,0.0,20,65.85550778065517,5.082319837364911,67.7133861775219,69.98552715603728,0.07717380077445588,1.0335552703354487,True,False
case2746wop,"(0.04, 869)",Chordal_MFI,True,2.0,20,117.91376049873652,11.460630891776097,123.2619304524851,125.53504784801044,0.09719502493433665,1.0184413580671736,True,False
case2746wop,"(0.04, 869)",Chordal_MFI,True,3.0,20,58.376524189137854,3.362218620100963,58.59545634652022,61.818729648017325,0.05759538901643912,1.0550089290615878,True,False
case2746wop,"(0.04, 869)",Chordal_MFI,True,4.0,20,53.89982559964992,2.847758700353761,54.80019150301814,57.56556069501676,0.05283428413119498,1.0504627651136276,True,False
case2746wop,"(0.04, 869)",Chordal_MFI,True,5.0,20,55.61852440719959,3.0547004190242157,56.40118967805756,58.77698235400021,0.054922356383636774,1.0421230950890197,True,False
case2746wop,"(0.05, 1547)",Chordal_AMD,False,0.0,20,96.32487331274896,6.995980057608803,98.9722757714917,100.93047907110304,0.07262900865588638,1.0197853720584587,True,False
case2746wop,"(0.05, 1547)",Chordal_AMD,True,2.0,20,152.5694582180353,13.987809534425711,161.18788503296673,166.38566272694152,0.09168158357379687,1.0322467019956973,True,False
case2746wop,"(0.05, 1547)",Chordal_AMD,True,3.0,20,73.65459341084934,4.845646865776411,74.45373489748454,79.05470456997864,0.06578879390110985,1.0617963582193584,True,False
