Epoch,Train_Loss,Val_Loss
1,2242.793556213379,2233.7103068033853
2,1702.6638565063477,1612.4830678304036
3,1598.0172576904297,1692.917500813802
4,1703.7686080932617,2160.9923706054688
5,1590.6636772155762,2022.9386800130208
6,1627.899227142334,1763.7251383463542
7,1584.7332954406738,1566.2633717854817
8,1627.6458358764648,2244.206827799479
9,1624.4746780395508,1873.5885416666667
10,1609.2633514404297,1779.8658447265625
11,1723.182960510254,1623.4098409016926
12,1702.40034866333,1627.6850280761719
13,1567.9654006958008,1572.4161173502605
14,1654.8724822998047,1724.7187093098958
15,1625.8931579589844,1744.7490844726562
16,1609.931999206543,1872.7147827148438
17,1605.3490905761719,2107.9879353841147
18,1614.4435424804688,1696.7667643229167
19,1648.8829498291016,1678.278544108073
20,1637.906105041504,1698.4306640625
21,1590.330924987793,1625.4424743652344
22,1606.7539596557617,1604.9924621582031
23,1700.9126281738281,1893.6117146809895
24,1595.167251586914,1615.0733133951824
25,1639.2171440124512,1599.8320719401042
26,1651.6089553833008,1962.066630045573
27,1619.1072463989258,1652.2840067545574
28,1560.401023864746,1537.451535542806
29,1602.5635452270508,1630.181864420573
30,1640.2740859985352,1662.1905212402344
31,1643.3390350341797,1551.3578796386719
32,1565.360767364502,1957.0480346679688
33,1641.777442932129,1997.205342610677
34,1574.3347244262695,1784.7706298828125
35,1606.7972106933594,2004.4017333984375
36,1605.4847412109375,1837.4830729166667
37,1575.0731773376465,2050.0446980794272
38,1629.811134338379,1783.1419881184895
39,1654.8046264648438,1838.9425048828125
40,1584.4773902893066,1709.5953165690105
41,1642.1400527954102,1850.7569376627605
42,1617.3885955810547,1592.1095886230469
43,1763.9165954589844,1566.3014424641926
44,1569.8780784606934,1960.7032674153645
45,1645.6094551086426,1631.0728963216145
46,1593.2330627441406,1790.8612060546875
47,1685.7625427246094,1576.5128479003906
48,1576.7277297973633,1601.2953491210938
49,1564.3672256469727,1583.3869934082031
50,1585.2055740356445,2110.2168172200522
51,1684.451156616211,1582.7421112060547
52,1628.7115364074707,1703.513692220052
53,1580.5717391967773,2368.6275227864585
54,1633.3911666870117,1920.1977945963542
55,1683.222827911377,1810.2691446940105
56,1583.4877014160156,1612.2894490559895
