Epoch,Train_Loss,Val_Loss
1,2818.7432708740234,2178.519816080729
2,1824.1936340332031,1764.515848795573
3,1736.531234741211,2171.505859375
4,1663.178611755371,1939.228780110677
5,1774.0147399902344,1607.0892435709636
6,1683.0660400390625,2429.0283203125
7,1658.9440460205078,1566.812739054362
8,1597.080581665039,1783.4252319335938
9,1636.2862548828125,2462.2822469075522
10,1645.4314880371094,1986.9188435872395
11,1689.3836669921875,1930.04541015625
12,1756.3754806518555,1606.0052998860676
13,1653.1833000183105,1999.078592936198
14,1651.5239944458008,1589.4331868489583
15,1724.0085983276367,2480.5458780924478
16,1691.1707153320312,1578.2538248697917
17,1626.0045318603516,1705.4032796223958
18,1631.3479614257812,2003.9329223632812
19,1639.5227432250977,1576.10791015625
20,1687.1061325073242,1757.4225056966145
21,1613.8252563476562,1779.7023315429688
22,1612.2720565795898,2489.618693033854
23,1672.842025756836,1610.8829549153645
24,1603.1504974365234,2002.282002766927
25,1649.9719161987305,2247.7564697265625
26,1763.3447952270508,1599.3484293619792
27,1639.2015228271484,1591.1822509765625
28,1586.2100982666016,2154.0936279296875
29,1681.7129669189453,1685.7643737792969
30,1676.9436798095703,1732.1998901367188
31,1592.9292812347412,1631.2036539713542
32,1725.1548080444336,1667.458740234375
33,1638.9200744628906,1575.126673380534
34,1581.196002960205,1585.8086751302083
35,1703.4823303222656,1590.0844319661458
36,1613.9583168029785,1925.4074096679688
37,1640.9722137451172,1813.3660074869792
38,1685.984390258789,1652.0597229003906
39,1699.6165466308594,1747.9365234375
40,1585.818172454834,1821.1786295572917
41,1581.838191986084,1771.8852132161458
42,1786.257423400879,2448.6827596028647
43,1678.1689376831055,1834.3376871744792
44,1687.5578308105469,1683.863993326823
45,1771.6747436523438,1839.8306681315105
46,1648.3003616333008,1833.4348958333333
47,1616.996681213379,1571.7660420735676
48,1644.3469161987305,1658.8878479003906
49,1630.5664749145508,1555.9925537109375
50,1635.5084686279297,1592.0645955403645
51,1695.1073913574219,1679.6823323567708
52,1620.1708335876465,1602.0391337076824
53,1622.0976028442383,1760.0040893554688
54,1636.8065185546875,1835.2090861002605
55,1597.5349311828613,2034.9639689127605
56,1638.5155410766602,1696.6863606770833
57,1715.937515258789,2113.937052408854
58,1678.6662521362305,2051.55712890625
59,1587.6598777770996,2043.3777669270833
60,1631.0345153808594,1653.7457173665364
61,1619.7092208862305,1592.074951171875
62,1631.8113555908203,1750.8045857747395
63,1692.3658294677734,1660.2282613118489
64,1595.1998596191406,1676.5359293619792
65,1613.1736373901367,1963.15380859375
66,1783.5735626220703,2492.5214640299478
67,1652.1492767333984,2190.7998657226562
68,1666.155746459961,1559.4848022460938
69,1586.6682586669922,2036.5279947916667
70,1605.1342887878418,1569.9236857096355
71,1632.203010559082,1698.1364847819011
72,1576.9527702331543,1551.7305246988933
73,1577.5260887145996,1676.3818969726562
74,1560.7139701843262,1748.6805623372395
75,1640.236312866211,1549.678207397461
76,1634.0878677368164,1865.408467610677
77,1717.1762084960938,1665.3872884114583
78,1640.7894897460938,1681.8211466471355
79,1618.0460739135742,1908.7803141276042
80,1581.374153137207,1834.8116658528645
81,1628.151870727539,1594.2291768391926
82,1640.1051788330078,1752.9829915364583
83,1602.5746612548828,1967.5324605305989
84,1634.116828918457,1561.40625
85,1669.2318572998047,1542.7720845540364
86,1687.4286918640137,1579.2049967447917
87,1574.0756301879883,1624.4335327148438
88,1595.4946899414062,1549.0257110595703
89,1601.9300537109375,1647.7638549804688
90,1595.524227142334,1587.2210795084636
91,1576.2479248046875,1646.4821166992188
92,1603.7421951293945,1549.2023518880208
93,1621.7397232055664,1613.3887736002605
94,1605.7390022277832,1766.8470255533855
95,1603.3513069152832,1921.529764811198
96,1566.8894958496094,2586.6032918294272
97,1588.0386428833008,1744.8113810221355
98,1598.302116394043,1621.9820149739583
99,1592.2622833251953,1529.2823689778645
100,1658.7918586730957,2536.314412434896
