Epoch,Train_Loss,Val_Loss
1,2239.0051345825195,2232.99755859375
2,1701.8561553955078,1612.6145833333333
3,1597.942798614502,1693.0277913411458
4,1703.7820281982422,2160.8247680664062
5,1590.6429748535156,2022.9527384440105
6,1627.9097633361816,1763.6188557942708
7,1584.6947937011719,1566.2849578857422
8,1627.6236763000488,2244.3795369466147
9,1624.4814834594727,1873.6802368164062
10,1609.2457008361816,1779.782470703125
11,1723.1972579956055,1623.4524841308594
12,1702.3743209838867,1627.8046162923176
13,1567.988088607788,1572.4442698160808
14,1654.9169540405273,1724.6794026692708
15,1625.8750762939453,1744.7496541341145
16,1609.921142578125,1872.65380859375
17,1605.3476104736328,2108.0208943684897
18,1614.4447212219238,1696.8532307942708
19,1648.9067306518555,1678.3138427734375
20,1637.9051971435547,1698.38037109375
21,1590.3486022949219,1625.4835713704426
22,1606.7645111083984,1605.0048319498699
23,1700.9286499023438,1893.6167602539062
24,1595.1639556884766,1614.9935302734375
25,1639.207691192627,1599.8951314290364
26,1651.6108627319336,1962.062032063802
27,1619.122688293457,1652.3091532389324
28,1560.418857574463,1537.499412536621
29,1602.5742263793945,1630.2510579427083
30,1640.2759170532227,1662.2464701334636
31,1643.3356018066406,1551.357686360677
32,1565.3315315246582,1956.9744873046875
33,1641.7736129760742,1997.2863159179688
34,1574.3195686340332,1784.762430826823
35,1606.7960662841797,2004.3874104817708
36,1605.482421875,1837.5333658854167
37,1575.0575866699219,2050.1364949544272
38,1629.8065567016602,1783.127665201823
39,1654.785789489746,1838.9417317708333
40,1584.4717636108398,1709.568868001302
41,1642.1377792358398,1850.681884765625
42,1617.385498046875,1592.1131846110027
43,1763.9103088378906,1566.2885233561199
44,1569.886432647705,1960.774881998698
45,1645.6079406738281,1631.0648193359375
46,1593.2310180664062,1790.841328938802
47,1685.7702102661133,1576.5014546712239
48,1576.6973419189453,1601.3163248697917
49,1564.3476638793945,1583.3529866536458
50,1585.1766967773438,2110.3267415364585
51,1684.4202041625977,1582.7531178792317
52,1628.6934242248535,1703.5321655273438
53,1580.5571327209473,2368.6268310546875
54,1633.370246887207,1920.1461588541667
55,1683.1984062194824,1810.2706502278645
56,1583.474220275879,1612.2796936035156
57,1656.212875366211,1851.6646931966145
58,1581.5418319702148,1587.9636942545574
59,1533.4306983947754,1704.2845662434895
60,1592.0979232788086,1666.952128092448
61,1584.8599243164062,1726.4942626953125
62,1622.8901290893555,1563.240743001302
63,1576.909439086914,1620.4035135904949
64,1595.2902717590332,1606.8279724121094
65,1644.9728965759277,1586.8333129882812
66,1544.8093338012695,1768.7891642252605
67,1576.5718841552734,1587.4076741536458
68,1617.8977737426758,1575.3060607910156
69,1688.045051574707,1714.392354329427
70,1562.602741241455,1755.8630777994792
71,1641.455451965332,1909.2022501627605
72,1570.1357421875,2201.4844563802085
73,1604.7893562316895,1884.943135579427
74,1572.923755645752,1782.9292399088542
75,1585.3992004394531,2381.8087565104165
76,1608.5246353149414,1569.1087036132812
77,1609.1887741088867,1570.7292073567708
78,1595.8026962280273,1892.4975992838542
79,1572.9913711547852,2068.169637044271
80,1579.514533996582,1914.8784586588542
81,1549.3759994506836,1957.9512736002605
82,1540.5821800231934,1710.7327067057292
83,1531.1711120605469,1572.4311625162761
