Epoch,Train_Loss,Val_Loss
1,1351.2262725830078,1343.1719665527344
2,1341.2194519042969,1332.2654113769531
3,1332.5043182373047,1323.8625793457031
4,1324.8775634765625,1316.9418640136719
5,1318.3748779296875,1310.7091369628906
6,1312.6738586425781,1305.0585632324219
7,1307.1954498291016,1300.1055450439453
8,1302.3201599121094,1295.5338287353516
9,1297.673080444336,1291.1875
10,1293.2404479980469,1286.838134765625
11,1289.0525970458984,1282.5237731933594
12,1284.7665252685547,1278.2618865966797
13,1280.7764587402344,1273.9843444824219
14,1276.4034118652344,1269.7800598144531
15,1272.478515625,1265.6273040771484
16,1268.3443298339844,1261.5295715332031
17,1264.3564147949219,1257.4639739990234
18,1260.148178100586,1253.4586791992188
19,1256.0041809082031,1249.495849609375
20,1252.0673217773438,1245.5092163085938
21,1248.112045288086,1241.5014953613281
22,1244.1499328613281,1237.5030517578125
23,1239.9901428222656,1233.4819946289062
24,1235.850570678711,1229.4687194824219
25,1231.9449005126953,1225.4193878173828
26,1227.6666107177734,1221.3742218017578
27,1223.7358703613281,1217.3153381347656
28,1219.6127624511719,1213.2298278808594
29,1215.5220794677734,1209.1118774414062
30,1211.4625549316406,1204.988525390625
31,1207.3113098144531,1200.816421508789
32,1202.8739776611328,1196.658676147461
33,1198.7294921875,1192.4690399169922
34,1194.589614868164,1188.2377471923828
35,1190.297607421875,1184.0116577148438
36,1186.155029296875,1179.755111694336
37,1181.6833801269531,1175.4631652832031
38,1177.4417419433594,1171.1658020019531
39,1173.0130767822266,1166.8441467285156
40,1168.6528930664062,1162.5123443603516
41,1164.322021484375,1158.1329650878906
42,1159.7723999023438,1153.7179412841797
43,1155.387435913086,1149.3363189697266
44,1150.8453674316406,1144.9160614013672
45,1146.543212890625,1140.4368133544922
46,1142.0940399169922,1135.9396362304688
47,1137.4326171875,1131.4492645263672
48,1132.872543334961,1126.947250366211
49,1128.1359252929688,1122.4202728271484
50,1123.7017822265625,1117.8501434326172
51,1119.1414337158203,1113.25048828125
52,1114.341781616211,1108.6854553222656
53,1109.8582153320312,1104.083236694336
54,1105.2246551513672,1099.4261474609375
55,1100.4368438720703,1094.8016510009766
56,1095.9475860595703,1090.1626434326172
57,1090.90869140625,1085.5201110839844
58,1086.4696807861328,1080.8296966552734
59,1081.417465209961,1076.1724700927734
60,1077.0228271484375,1071.4907684326172
61,1072.3774871826172,1066.7738952636719
62,1067.3179626464844,1062.1053161621094
63,1062.7479705810547,1057.3442840576172
64,1058.185317993164,1052.6236877441406
65,1053.1329040527344,1047.8859100341797
66,1048.3155822753906,1043.136215209961
67,1043.4882507324219,1038.3948669433594
68,1038.9467315673828,1033.613540649414
69,1034.3291015625,1028.8077850341797
70,1029.3351593017578,1024.0806884765625
71,1024.3826141357422,1019.3089599609375
72,1019.6443176269531,1014.5122528076172
73,1014.8521881103516,1009.7538452148438
74,1010.2354431152344,1004.9524841308594
75,1005.1303100585938,1000.1657562255859
76,1000.2544097900391,995.4073333740234
77,995.4728393554688,990.6184692382812
78,990.8234558105469,985.8551177978516
79,986.0187225341797,981.0702056884766
80,981.3371658325195,976.2110137939453
81,976.2014465332031,971.4173278808594
82,971.6547546386719,966.6476593017578
83,966.4249572753906,961.8524627685547
84,961.8994903564453,957.0614929199219
85,956.8956756591797,952.2754516601562
86,952.2107391357422,947.5141448974609
87,947.4483032226562,942.6838684082031
88,942.618896484375,937.9109802246094
89,937.6994171142578,933.1504516601562
90,932.8846282958984,928.3789520263672
91,928.2864685058594,923.6153564453125
92,923.1557159423828,918.8446044921875
93,918.6594009399414,914.0556793212891
94,913.6930694580078,909.2939147949219
95,908.6396636962891,904.5288696289062
96,904.4400329589844,899.7772674560547
97,899.0459747314453,895.0292358398438
98,894.6308212280273,890.2808990478516
99,889.8260803222656,885.5373840332031
100,885.0825958251953,880.8344879150391
101,880.5390472412109,876.1607360839844
102,875.5836944580078,871.4664459228516
103,871.0874710083008,866.8033142089844
104,866.3930206298828,862.078857421875
105,861.718505859375,857.365837097168
106,856.9579315185547,852.6677703857422
107,852.3737182617188,847.9879150390625
108,847.3701782226562,843.3833312988281
109,842.9063873291016,838.7404632568359
