0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
29.977198,40.080708,15.848052,17.360435,24.088594,26.848993,36.749485,15.65214,16.930246,22.32317,27.404549,37.84383,15.2431345,16.662224,22.460648
34.8888,26.572895,20.562735,17.283583,67.42759,29.7889,29.634882,20.367565,16.932194,66.20743,28.593401,27.73773,18.846708,15.4922085,66.832726
32.7938,22.384537,18.763042,25.441132,33.97143,29.066786,20.44853,19.189425,25.348389,31.691408,29.8941,21.023182,19.33478,25.464785,32.652714
112.09659,27.271957,36.952675,22.514244,21.411915,109.23423,25.81724,35.629524,22.631191,21.07926,110.24231,26.421883,35.573578,21.45594,21.9438
30.521208,40.432514,16.537046,17.834429,23.582628,25.657793,35.61385,15.254664,16.255877,21.422756,26.5171,36.9879,16.026556,17.09099,22.281677
21.224798,20.966013,33.670483,22.606895,53.96632,19.051476,17.251888,34.649498,21.88879,48.88954,21.067623,20.547737,38.23313,21.926832,53.343334
39.33632,27.808886,16.591713,26.257994,44.434807,33.484715,23.456295,15.303088,24.333,42.75605,34.120174,23.366282,15.005422,24.021173,41.145718
34.374912,26.650846,20.725948,17.19042,67.44437,29.71679,29.670477,19.965933,16.74104,66.11913,28.623465,28.282091,18.792173,15.474832,66.8452
39.616604,28.393045,16.403522,26.271238,45.001377,33.260918,23.224297,15.093304,24.149324,42.30698,34.686546,23.470013,15.085677,24.059635,41.103012
111.85951,27.17526,36.951626,22.450188,21.307697,109.37116,26.150875,35.92067,23.20883,21.266392,110.363335,26.389086,35.464428,21.619778,22.184065
34.71644,26.603683,20.641537,17.09908,67.35784,29.226177,29.165407,19.193499,15.91659,65.95948,28.605513,28.16335,18.603182,15.4839735,65.050934
21.045872,20.881613,33.591618,22.579084,53.72874,19.27499,17.422623,32.06589,19.69224,51.367233,20.987835,20.542078,38.313538,21.058935,52.678646
39.662663,28.424685,16.566656,26.33122,45.009224,33.384098,23.365162,15.169524,24.302961,42.89882,34.57447,23.533167,15.109864,24.105707,41.191525
30.508205,40.55479,16.1784,17.812298,24.365265,26.827501,36.725048,15.915604,17.007858,21.98277,27.343395,37.86055,15.725815,17.169506,22.975842
30.469877,40.924908,16.539875,17.990038,24.057096,27.16706,37.004944,16.030449,17.149727,22.369133,27.115643,37.822727,15.973215,17.260752,23.097065
34.949776,23.39011,14.978997,24.091394,40.903793,32.975536,23.239607,15.043143,24.317398,43.21983,32.81527,22.461357,14.46712,23.359303,40.97142
39.725708,28.29267,16.733154,26.285954,44.817085,33.195705,23.083185,15.079315,24.101849,42.39096,34.402905,23.441952,15.079562,24.069351,41.06831
34.347507,19.778978,19.588715,25.800194,34.454277,26.216042,18.498423,18.120106,25.955408,33.04596,29.937347,20.873064,20.157793,25.30626,30.477154
34.595573,26.572268,20.662754,17.092169,67.37996,29.356712,29.316494,19.166086,15.893503,66.12981,28.547897,28.18329,18.624702,15.535131,65.437294
34.06499,26.225603,19.811275,16.554691,66.747734,29.56274,29.303963,20.54424,16.810392,65.71745,28.020569,26.500626,18.693275,15.487479,67.15329
110.700134,26.581327,36.195,22.321077,20.600796,108.47177,25.515652,34.491016,21.336315,20.458937,108.580894,25.445524,34.695423,21.136208,21.194496
72.40607,19.654358,16.182043,70.99929,31.420692,69.701096,20.242825,17.392307,72.98522,32.228645,68.22748,22.334518,18.239481,75.58327,32.722004
21.554918,20.92363,33.322517,22.549608,54.136368,18.215324,17.019053,36.753586,22.269583,45.859093,20.980417,19.781897,38.256496,22.16513,53.808647
33.308456,23.050205,18.898233,25.610136,34.218838,28.134472,19.995214,19.333485,25.064611,30.849733,29.948183,20.99451,19.38399,25.46065,32.670216
30.672773,40.938995,16.54538,18.013304,24.283424,27.225307,37.20394,16.028975,17.221184,22.42811,27.351868,37.793297,15.842246,17.22098,23.10404
21.00295,20.745945,33.426754,22.382504,53.595314,19.237127,17.264992,31.185484,19.642485,51.449898,20.82742,20.322697,38.12781,19.843346,51.050545
26.096899,25.150099,38.52997,22.578272,52.165764,19.954397,20.868092,39.435734,24.47927,55.264248,20.098032,19.788874,35.78695,22.163506,53.614883
34.681843,20.004513,20.108238,25.996088,34.57388,26.864714,18.629133,18.379463,25.102478,32.145164,29.51592,20.395891,19.507246,24.732573,30.870752
111.48024,27.169687,36.828346,22.466883,21.309792,108.78038,26.18526,35.617996,22.540777,21.14877,109.60812,26.316113,35.56991,21.488022,22.036158
72.93797,19.83706,16.307245,71.88808,32.07652,70.88267,20.081747,16.830273,74.380775,32.158287,68.920555,22.356836,18.470629,75.06776,33.12709
32.83783,22.290504,18.492174,24.9229,33.27074,29.22452,19.507587,18.479492,24.534765,31.743807,29.628809,20.7213,18.571724,24.892923,32.291622
111.72046,27.158485,37.019768,22.5077,21.366394,109.242546,26.17872,35.83909,22.771095,21.305822,110.2105,26.462938,35.64078,21.557585,22.112408
